Browser
IE 8
IE 9
Firefox 11
IE 5
Opera 12
Opera 10
Chrome 45
Chrome 38
Safari 4
Mobile Safari 4
IE 7
Firefox 3
Opera 11
Chrome 46
IE 6
Firefox 18
Safari 5
Chrome 61
Firefox 10
Firefox 22
Firefox 16
Firefox 45
Mobile Safari 3
Chrome 16
Firefox 14
Firefox 4
Chrome 51
Chrome 20
Chrome 30
Firefox 58
Chrome 58
Chrome 28
Chrome 54
Chrome 62
Chrome 39
Chrome 36
Firefox 6
Firefox 12
Firefox 17
Chrome 48
Firefox 64
Chrome 29
Firefox 66
Chrome 17
Firefox 13
Firefox 8
Chrome 13
Chrome 26
Chrome 55
Chrome 43
Chrome 35
Chrome 34
Chrome 37
Chrome 50
Firefox 30
Chrome 31
Chrome 47
Chrome 32
Chrome 15
Chrome 56
Firefox 15
Chrome 18
Chrome 49
Firefox 9
Chrome 40
Firefox 23
Firefox 54
Chrome 42
Chrome 41
Firefox 53
Chrome 23
Firefox 57
Chrome 25
Firefox 44
Firefox 68
Chrome 53
Chrome 22
Chrome 14
Chrome 63
Firefox 24
Firefox 32
Chrome 24
Chrome 27
Firefox 34
Chrome 19
Chrome 59
Firefox 67
Firefox 20
Chrome 33
Firefox 19
Firefox 51
Firefox 56
Firefox 43
Firefox 31
Firefox 5
Chrome 44
Firefox 35
Chrome 21
Chrome 60
Firefox 55
Firefox 60
Firefox 40
Firefox 47
Chrome 52
Firefox 7
Firefox 36
Firefox 41
Firefox 26
Firefox 28
Firefox 25
Chrome 57
Firefox 38
Firefox 63
Firefox 49
Firefox 37
Firefox 61
Firefox 62
Firefox 46
Firefox 33
Firefox 65
Firefox 27
Firefox 39
Firefox 50
Firefox 59
Firefox 48
Firefox 42
Firefox 52
Firefox 21
Firefox 29
